Carrier,Type,Slugs - Requires no connection,Slugs - Requires connection
17 Post Service,Global,17postservice,
2ebox,Global,2ebox,
2GO,Global,2go,
360 Lion Express,Global,360lion,
3JMS Logistics,Global,3jmslogistics,
4-72 Entregando,Global,4-72,
4PX,Global,4px,
绿色国际速递,Global,6ls,
Best Express,Global,800bestex,
A1Post,Global,a1post,
A2B Express Logistics,Global,a2b-ba,
AAA Cooper,Global,aaa-cooper,
ABF Freight,Global,abf,
ABX Express,Global,abxexpress-my,
aCommerce,Global,acommerce,
ACS Courier,Global,acscourier,
ACS Worldwide Express,Global,acsworldwide,
Adicional Logistics,Global,adicional,
ADSOne,Global,adsone,
A Duie Pyle,Global,aduiepyle,
Mexico AeroFlash,Global,aeroflash,
Aeronet,Global,aeronet,
AEX Group,Global,aex,
Agility,Global,agility,
AIR21,Global,air21,
Airpak Express,Global,airpak-express,
Airspeed International Corporation,Global,airspeed,
"ALLJOY SUPPLY CHAIN CO., LTD",Global,alljoy,
alphaFAST,Global,alphafast,
Always Express,Global,always-express,
Amazon Shipping + Amazon MCF,Global,amazon,
Amazon,Global,amazon-email-push,
Swiship UK,Global,amazon-fba-swiship,
Swiship DE,Global,amazon-fba-swiship-de,
Swiship IN,Global,amazon-fba-swiship-in,
Amazon order,Global,amazon-order,
Amazon Shipping,Global,amazon-uk-api,
AMS Group,Global,amsegroup,
An Post,Global,an-post,
Anicam Global,Global,anicamboxexpress,
Anjun,Global,anjun,
ANSERX,Global,anserx,
Anteraja,Global,anteraja,
AO Deutschland Ltd.,Global,ao-deutschland,
APC Postal Logistics,Global,apc,
APC Overnight,Global,apc-overnight,
APC Overnight Consignment Number,Global,apc-overnight-connum,
APG eCommerce Solutions Ltd.,Global,apg,
Aquiline,Global,aquiline,
Arco Spedizioni SP,Global,arco-spedizioni,
ARK Logistics,Global,ark-logistics,
Arrow XL,Global,arrowxl,
ASE KARGO,Global,ase,
Asendia,Global,asendia-de,
Asendia APAC,Global,asendia-hk,
Asendia UK,Global,asendia-uk,
Asendia USA,Global,asendia-usa,
ASIGNA,Global,asigna,
ASM(GLS Spain),Global,asm,
Au Express,Global,auexpress,
Austrian Post (Express),Global,austrian-post,
Austrian Post (Registered),Global,austrian-post-registered,
Averitt Express,Global,averitt,
B2C Europe,Global,b2ceurope,
BDMnet,Global,bdmnet,
北俄国际,Global,be,
Belpost,Global,belpost,
Bert Transport,Global,bert-fr,
Best Way Parcel,Global,bestwayparcel,
Better Trucks,Global,bettertrucks,
Bulgarian Posts,Global,bgpost,
JP BH Pošta,Global,bh-posta,
BirdSystem,Global,birdsystem,
Blink,Global,blinklastmile,
Bluecare Express Ltd,Global,bluecare,
Blue Star,Global,bluestar,
Blue Express,Global,bluex,
Bneed,Global,bneed,
Bombino Express Pvt Ltd,Global,bombinoexp,
Bond,Global,bond,
Bonds Couriers,Global,bondscouriers,
Border Express,Global,borderexpress,
Boxberry,Global,box-berry,
BoxC,Global,boxc,
Bpost international,Global,bpost-international,
Brazil Correios,Global,brazil-correios,
Bring,Global,bring,
Brouwer Transport en Logistiek B.V.,Global,brouwer-transport,
BRT Bartolini(Parcel ID),Global,brt-it-parcelid,
BRT Bartolini(Sender Reference),Global,brt-it-sender-ref,
CAE Delivers,Global,cae-delivers,
Cainiao,Global,cainiao,
Cambodia Post,Global,cambodia-post,
Canada Post,Global,canada-post,
Canpar Courier,Global,canpar,
Capital Transport,Global,capital,
Carriers,Global,carriers,
